timestamp, tc_value, dash_value, dash_client_id
1646805380, 20000, 24821, dashjs4.2.1_c74
1646805381, 20000, 20701, dashjs4.2.1_c74
1646805381, 20000, 19972, dashjs4.2.1_c74
1646805382, 20000, 20202, dashjs4.2.1_c74
1646805383, 20000, 20504, dashjs4.2.1_c74
1646805384, 20000, 8992, dashjs4.2.1_c98
1646805385, 20000, 12017, dashjs4.2.1_c74
1646805386, 20000, 9974, dashjs4.2.1_c74
1646805386, 20000, 10359, dashjs4.2.1_c98
1646805388, 20000, 10441, dashjs4.2.1_c74
1646805388, 20000, 10618, dashjs4.2.1_c98
1646805388, 20000, 20612, dashjs4.2.1_c98
1646805390, 20000, 11310, dashjs4.2.1_c98
1646805390, 20000, 10330, dashjs4.2.1_c74
1646805391, 20000, 15800, dashjs4.2.1_c98
1646805392, 20000, 19972, dashjs4.2.1_c98
1646805394, 20000, 11097, dashjs4.2.1_c98
1646805394, 20000, 11004, dashjs4.2.1_c74
1646805398, 20000, 11058, dashjs4.2.1_c98
1646805398, 20000, 11269, dashjs4.2.1_c74
1646805402, 20000, 11372, dashjs4.2.1_c98
1646805402, 20000, 10411, dashjs4.2.1_c74
1646805406, 8000, 10798, dashjs4.2.1_c98
1646805406, 8000, 9741, dashjs4.2.1_c74
1646805412, 8000, 4717, dashjs4.2.1_c98
1646805412, 8000, 4639, dashjs4.2.1_c74
1646805417, 8000, 4535, dashjs4.2.1_c74
1646805417, 8000, 4017, dashjs4.2.1_c98
1646805420, 8000, 4211, dashjs4.2.1_c74
1646805422, 8000, 4091, dashjs4.2.1_c98
1646805424, 8000, 4120, dashjs4.2.1_c74
1646805425, 8000, 5348, dashjs4.2.1_c98
1646805427, 8000, 4042, dashjs4.2.1_c74
1646805428, 8000, 4497, dashjs4.2.1_c98
1646805429, 8000, 6707, dashjs4.2.1_c74
1646805431, 8000, 4173, dashjs4.2.1_c98
1646805432, 8000, 4107, dashjs4.2.1_c74
1646805432, 8000, 6335, dashjs4.2.1_c98
1646805435, 8000, 4239, dashjs4.2.1_c74
1646805435, 8000, 4602, dashjs4.2.1_c98
1646805439, 4000, 4187, dashjs4.2.1_c74
1646805446, 4000, 2199, dashjs4.2.1_c74
1646805446, 4000, 1997, dashjs4.2.1_c98
1646805450, 4000, 2065, dashjs4.2.1_c74
1646805451, 4000, 2382, dashjs4.2.1_c98
1646805453, 4000, 2189, dashjs4.2.1_c74
1646805455, 4000, 2036, dashjs4.2.1_c74
1646805456, 4000, 2056, dashjs4.2.1_c98
1646805458, 4000, 2483, dashjs4.2.1_c74
1646805459, 4000, 2247, dashjs4.2.1_c74
1646805460, 4000, 2019, dashjs4.2.1_c98
1646805461, 4000, 2970, dashjs4.2.1_c74
1646805462, 4000, 2060, dashjs4.2.1_c74
1646805462, 4000, 2397, dashjs4.2.1_c98
1646805463, 4000, 3361, dashjs4.2.1_c74
1646805464, 4000, 3364, dashjs4.2.1_c98
1646805466, 4000, 2832, dashjs4.2.1_c98
1646805467, 2000, 2322, dashjs4.2.1_c74
1646805467, 2000, 18858, dashjs4.2.1_c98
1646805474, 2000, 1048, dashjs4.2.1_c74
1646805474, 2000, 1251, dashjs4.2.1_c98
1646805476, 2000, 1197, dashjs4.2.1_c74
1646805479, 2000, 1214, dashjs4.2.1_c98
1646805481, 2000, 1069, dashjs4.2.1_c74
1646805485, 2000, 1102, dashjs4.2.1_c74
1646805486, 2000, 1245, dashjs4.2.1_c98
1646805487, 2000, 1150, dashjs4.2.1_c74
1646805490, 2000, 852, dashjs4.2.1_c74
1646805490, 2000, 1299, dashjs4.2.1_c74
1646805493, 2000, 1488, dashjs4.2.1_c98
1646805494, 2000, 2227, dashjs4.2.1_c74
1646805495, 2000, 2141, dashjs4.2.1_c98
1646805496, 2000, 2071, dashjs4.2.1_c98
1646805497, 2000, 2852, dashjs4.2.1_c98
1646805498, 4000, 2122, dashjs4.2.1_c74
1646805499, 4000, 1529, dashjs4.2.1_c98
1646805500, 4000, 4126, dashjs4.2.1_c98
1646805501, 4000, 4392, dashjs4.2.1_c98
1646805502, 4000, 2186, dashjs4.2.1_c74
1646805502, 4000, 3139, dashjs4.2.1_c98
1646805503, 4000, 4381, dashjs4.2.1_c98
1646805504, 4000, 3979, dashjs4.2.1_c98
1646805505, 4000, 4256, dashjs4.2.1_c98
1646805506, 4000, 2121, dashjs4.2.1_c74
1646805506, 4000, 2814, dashjs4.2.1_c98
1646805507, 4000, 4360, dashjs4.2.1_c98
1646805507, 4000, 4313, dashjs4.2.1_c98
1646805510, 4000, 2417, dashjs4.2.1_c74
1646805510, 4000, 3012, dashjs4.2.1_c98
1646805514, 4000, 2916, dashjs4.2.1_c74
1646805514, 4000, 2121, dashjs4.2.1_c98
1646805515, 4000, 3546, dashjs4.2.1_c74
1646805518, 4000, 3556, dashjs4.2.1_c74
1646805521, 4000, 2023, dashjs4.2.1_c74
1646805522, 4000, 2174, dashjs4.2.1_c98
1646805525, 4000, 2180, dashjs4.2.1_c74
1646805525, 4000, 2083, dashjs4.2.1_c98
1646805526, 4000, 2378, dashjs4.2.1_c74
1646805528, 4000, 3979, dashjs4.2.1_c74
1646805529, 8000, 7993, dashjs4.2.1_c74
1646805530, 8000, 8381, dashjs4.2.1_c74
1646805531, 8000, 1140, dashjs4.2.1_c98
1646805531, 8000, 4168, dashjs4.2.1_c98
1646805532, 8000, 6239, dashjs4.2.1_c74
1646805533, 8000, 3990, dashjs4.2.1_c98
1646805533, 8000, 4399, dashjs4.2.1_c98
1646805534, 8000, 4102, dashjs4.2.1_c98
1646805534, 8000, 4401, dashjs4.2.1_c74
1646805535, 8000, 4215, dashjs4.2.1_c98
1646805536, 8000, 4182, dashjs4.2.1_c98
1646805536, 8000, 4579, dashjs4.2.1_c74
1646805537, 8000, 4689, dashjs4.2.1_c98
1646805538, 8000, 6406, dashjs4.2.1_c74
1646805539, 8000, 8160, dashjs4.2.1_c74
1646805541, 8000, 8150, dashjs4.2.1_c74
1646805542, 8000, 4048, dashjs4.2.1_c98
1646805544, 8000, 6823, dashjs4.2.1_c74
1646805546, 8000, 5929, dashjs4.2.1_c74
1646805547, 8000, 4269, dashjs4.2.1_c98
1646805550, 8000, 4201, dashjs4.2.1_c74
1646805550, 8000, 3997, dashjs4.2.1_c98
1646805552, 8000, 4076, dashjs4.2.1_c98
1646805554, 8000, 4249, dashjs4.2.1_c74
1646805555, 8000, 4059, dashjs4.2.1_c98
1646805557, 8000, 4280, dashjs4.2.1_c74
1646805557, 8000, 4125, dashjs4.2.1_c98
1646805558, 8000, 4487, dashjs4.2.1_c74
1646805559, 8000, 8185, dashjs4.2.1_c98
1646805560, 20000, 1272, dashjs4.2.1_c74
1646805560, 20000, 4033, dashjs4.2.1_c74
1646805560, 20000, 23647, dashjs4.2.1_c74
1646805560, 20000, 19906, dashjs4.2.1_c74
1646805560, 20000, 21131, dashjs4.2.1_c74
1646805560, 20000, 20968, dashjs4.2.1_c74
1646805560, 20000, 20106, dashjs4.2.1_c74
1646805560, 20000, 23732, dashjs4.2.1_c74
1646805560, 20000, 23875, dashjs4.2.1_c74
1646805560, 20000, 25965, dashjs4.2.1_c74
1646805561, 20000, 20557, dashjs4.2.1_c98
1646805565, 20000, 10191, dashjs4.2.1_c74
1646805565, 20000, 18439, dashjs4.2.1_c98
1646805566, 20000, 20487, dashjs4.2.1_c98
1646805567, 20000, 20594, dashjs4.2.1_c98
1646805568, 20000, 20391, dashjs4.2.1_c98
1646805569, 20000, 12048, dashjs4.2.1_c74
1646805569, 20000, 18380, dashjs4.2.1_c98
1646805569, 20000, 20355, dashjs4.2.1_c98
1646805570, 20000, 20111, dashjs4.2.1_c98
1646805572, 20000, 21885, dashjs4.2.1_c74
1646805573, 20000, 20151, dashjs4.2.1_c98
1646805578, 20000, 10318, dashjs4.2.1_c98
1646805578, 20000, 11026, dashjs4.2.1_c74
1646805579, 20000, 20262, dashjs4.2.1_c74
1646805580, 20000, 20086, dashjs4.2.1_c74
1646805581, 20000, 20151, dashjs4.2.1_c74
1646805582, 20000, 10174, dashjs4.2.1_c98
1646805582, 20000, 11478, dashjs4.2.1_c74
1646805583, 20000, 20364, dashjs4.2.1_c74
1646805584, 20000, 20361, dashjs4.2.1_c74
1646805585, 20000, 13087, dashjs4.2.1_c74
1646805586, 20000, 13669, dashjs4.2.1_c98
1646805589, 8000, 42838, dashjs4.2.1_c74
1646805596, 8000, 4084, dashjs4.2.1_c74
1646805597, 8000, 4524, dashjs4.2.1_c98
1646805600, 8000, 4083, dashjs4.2.1_c98
1646805600, 8000, 4245, dashjs4.2.1_c74
1646805605, 8000, 4160, dashjs4.2.1_c98
1646805605, 8000, 4059, dashjs4.2.1_c74
1646805608, 8000, 4129, dashjs4.2.1_c98
1646805609, 8000, 4537, dashjs4.2.1_c74
1646805611, 8000, 4374, dashjs4.2.1_c98
1646805613, 8000, 4058, dashjs4.2.1_c74
1646805614, 8000, 4098, dashjs4.2.1_c98
1646805615, 8000, 4063, dashjs4.2.1_c74
1646805617, 8000, 4207, dashjs4.2.1_c98
1646805617, 8000, 4377, dashjs4.2.1_c74
1646805619, 8000, 4168, dashjs4.2.1_c98
1646805620, 4000, 3116, dashjs4.2.1_c74
1646805626, 4000, 2172, dashjs4.2.1_c98
1646805626, 4000, 2046, dashjs4.2.1_c74
1646805631, 4000, 2103, dashjs4.2.1_c98
1646805631, 4000, 2013, dashjs4.2.1_c74
1646805634, 4000, 2254, dashjs4.2.1_c98
1646805635, 4000, 2092, dashjs4.2.1_c74
1646805636, 4000, 2125, dashjs4.2.1_c98
1646805638, 4000, 2236, dashjs4.2.1_c74
1646805639, 4000, 2310, dashjs4.2.1_c98
1646805639, 4000, 2332, dashjs4.2.1_c74
1646805641, 4000, 2285, dashjs4.2.1_c74
1646805641, 4000, 2079, dashjs4.2.1_c98
1646805642, 4000, 2398, dashjs4.2.1_c74
1646805643, 4000, 2308, dashjs4.2.1_c98
1646805644, 4000, 2362, dashjs4.2.1_c74
1646805645, 4000, 2334, dashjs4.2.1_c98
1646805646, 4000, 2129, dashjs4.2.1_c74
1646805646, 4000, 2408, dashjs4.2.1_c98
1646805647, 4000, 2078, dashjs4.2.1_c74
1646805647, 4000, 2808, dashjs4.2.1_c98
1646805648, 4000, 4193, dashjs4.2.1_c98
1646805649, 4000, 6896, dashjs4.2.1_c98
1646805651, 2000, 1579, dashjs4.2.1_c74
1646805655, 2000, 1461, dashjs4.2.1_c98
1646805655, 2000, 1350, dashjs4.2.1_c74
1646805660, 2000, 1205, dashjs4.2.1_c98
1646805660, 2000, 1518, dashjs4.2.1_c74
1646805663, 2000, 1380, dashjs4.2.1_c74
1646805665, 2000, 1617, dashjs4.2.1_c98
1646805669, 2000, 1090, dashjs4.2.1_c74
1646805671, 2000, 1291, dashjs4.2.1_c98
1646805672, 2000, 1049, dashjs4.2.1_c74
1646805676, 2000, 1443, dashjs4.2.1_c98
1646805676, 2000, 1129, dashjs4.2.1_c74
1646805678, 2000, 1383, dashjs4.2.1_c98
1646805679, 2000, 1532, dashjs4.2.1_c98
1646805680, 2000, 1106, dashjs4.2.1_c74
1646805680, 4000, 1618, dashjs4.2.1_c74
1646805681, 4000, 1409, dashjs4.2.1_c98
1646805682, 4000, 3057, dashjs4.2.1_c98
1646805682, 4000, 2968, dashjs4.2.1_c74
1646805682, 4000, 5491, dashjs4.2.1_c98
1646805683, 4000, 4042, dashjs4.2.1_c98
1646805683, 4000, 5343, dashjs4.2.1_c98
1646805683, 4000, 4314, dashjs4.2.1_c98
1646805683, 4000, 4473, dashjs4.2.1_c98
1646805685, 4000, 5359, dashjs4.2.1_c74
1646805685, 4000, 5868, dashjs4.2.1_c98
1646805689, 4000, 5318, dashjs4.2.1_c98
1646805689, 4000, 4402, dashjs4.2.1_c74
1646805694, 4000, 3127, dashjs4.2.1_c74
1646805695, 4000, 3941, dashjs4.2.1_c98
1646805697, 4000, 2631, dashjs4.2.1_c74
1646805698, 4000, 3513, dashjs4.2.1_c98
1646805702, 4000, 2901, dashjs4.2.1_c74
1646805702, 4000, 3590, dashjs4.2.1_c98
1646805704, 4000, 4045, dashjs4.2.1_c98
1646805708, 4000, 2435, dashjs4.2.1_c98
1646805709, 4000, 2082, dashjs4.2.1_c74
1646805710, 8000, 2244, dashjs4.2.1_c98
1646805710, 8000, 5247, dashjs4.2.1_c74
1646805711, 8000, 8579, dashjs4.2.1_c74
1646805712, 8000, 7979, dashjs4.2.1_c74
1646805713, 8000, 592, dashjs4.2.1_c98
1646805713, 8000, 7182, dashjs4.2.1_c74
1646805713, 8000, 5283, dashjs4.2.1_c98
1646805714, 8000, 4133, dashjs4.2.1_c98
1646805715, 8000, 5033, dashjs4.2.1_c74
1646805715, 8000, 8552, dashjs4.2.1_c98
1646805715, 8000, 8573, dashjs4.2.1_c98
1646805716, 8000, 9206, dashjs4.2.1_c98
