timestamp, last_tc_value, tmp_id, throughput, buffer, stallDuration, representationId, 
1646805380, 20000, dashjs4.2.1_c9, NaN, 0, 0, bbb_30fps_320x180_400k, 
1646805380, 20000, dashjs4.2.1_c9, 24821, 0, 0, bbb_30fps_320x180_400k, 
1646805380, 20000, dashjs4.2.1_c9, 24821, 4, 0, bbb_30fps_1280x720_4000k, 
1646805381, 20000, dashjs4.2.1_c9, 22761, 3.769, 0.25, bbb_30fps_1280x720_4000k, 
1646805381, 20000, dashjs4.2.1_c9, 21831, 2.811, 0.25, bbb_30fps_1280x720_4000k, 
1646805382, 20000, dashjs4.2.1_c9, 21424, 6.061, 0.25, bbb_30fps_1280x720_4000k, 
1646805383, 20000, dashjs4.2.1_c9, 20345, 9.06, 0.25, bbb_30fps_1280x720_4000k, 
1646805383, 20000, dashjs4.2.1_c34, NaN, 0, 0, bbb_30fps_1280x720_4000k, 
1646805384, 20000, dashjs4.2.1_c34, 8992, 0, 0, bbb_30fps_1280x720_4000k, 
1646805385, 20000, dashjs4.2.1_c9, 18679, 11.81, 0.25, bbb_30fps_1280x720_4000k, 
1646805386, 20000, dashjs4.2.1_c9, 16534, 14.56, 0.25, bbb_30fps_1280x720_4000k, 
1646805386, 20000, dashjs4.2.1_c34, 9676, 2.222, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805388, 20000, dashjs4.2.1_c9, 14628, 16.809, 0.25, bbb_30fps_1280x720_4000k, 
1646805388, 20000, dashjs4.2.1_c34, 9990, 4.722, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805388, 20000, dashjs4.2.1_c34, 12645, 7.972, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805390, 20000, dashjs4.2.1_c34, 12378, 10.471, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805390, 20000, dashjs4.2.1_c9, 10691, 18.058, 0.25, bbb_30fps_1280x720_4000k, 
1646805391, 20000, dashjs4.2.1_c34, 12949, 13.721, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805392, 20000, dashjs4.2.1_c34, 13952, 16.721, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805394, 20000, dashjs4.2.1_c34, 13595, 18.22, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805394, 20000, dashjs4.2.1_c9, 10437, 18.057, 0.25, bbb_30fps_1280x720_4000k, 
1646805398, 20000, dashjs4.2.1_c34, 13853, 18.219, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805398, 20000, dashjs4.2.1_c9, 10761, 18.056, 0.25, bbb_30fps_1280x720_4000k, 
1646805402, 20000, dashjs4.2.1_c34, 13860, 18.218, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805402, 20000, dashjs4.2.1_c9, 10754, 18.305, 0.25, bbb_30fps_1280x720_4000k, 
1646805406, 8000, dashjs4.2.1_c34, 11081, 18.466, 1.2502000000178815, bbb_30fps_1280x720_4000k, 
1646805406, 8000, dashjs4.2.1_c9, 10606, 18.053, 0.25, bbb_30fps_1280x720_4000k, 
