timestamp, tc_value, dash_value, dash_client_id
1646804146, 8000, 7775, dashjs3.1.3_c19
1646804146, 4000, 22495, dashjs3.1.3_c19
1646804152, 4000, 2902, dashjs3.1.3_c19
1646804154, 4000, 1863, dashjs3.1.3_c96
1646804156, 4000, 2004, dashjs3.1.3_c96
1646804158, 4000, 2001, dashjs3.1.3_c96
1646804159, 4000, 2409, dashjs3.1.3_c19
1646804160, 4000, 2582, dashjs3.1.3_c96
1646804161, 4000, 2265, dashjs3.1.3_c96
1646804162, 4000, 2401, dashjs3.1.3_c96
1646804165, 4000, 2275, dashjs3.1.3_c19
1646804166, 4000, 2106, dashjs3.1.3_c96
1646804168, 4000, 2067, dashjs3.1.3_c19
1646804169, 4000, 2439, dashjs3.1.3_c96
1646804170, 4000, 2415, dashjs3.1.3_c19
1646804172, 4000, 2103, dashjs3.1.3_c96
1646804172, 4000, 2225, dashjs3.1.3_c19
1646804174, 4000, 2398, dashjs3.1.3_c96
1646804176, 4000, 2126, dashjs3.1.3_c19
1646804177, 4000, 2232, dashjs3.1.3_c96
1646804177, 4000, 2042, dashjs3.1.3_c19
1646804178, 4000, 4377, dashjs3.1.3_c19
1646804178, 2000, 10964, dashjs3.1.3_c19
1646804178, 2000, 21845, dashjs3.1.3_c96
1646804184, 2000, 1357, dashjs3.1.3_c19
1646804187, 2000, 1314, dashjs3.1.3_c96
1646804192, 2000, 868, dashjs3.1.3_c19
1646804194, 2000, 1413, dashjs3.1.3_c96
1646804197, 2000, 750, dashjs3.1.3_c19
1646804199, 2000, 1014, dashjs3.1.3_c19
1646804204, 2000, 707, dashjs3.1.3_c96
1646804204, 2000, 1266, dashjs3.1.3_c19
1646804206, 2000, 1057, dashjs3.1.3_c19
1646804208, 4000, 1080, dashjs3.1.3_c19
1646804209, 4000, 4055, dashjs3.1.3_c19
1646804211, 4000, 906, dashjs3.1.3_c96
1646804212, 4000, 4138, dashjs3.1.3_c96
1646804214, 4000, 2657, dashjs3.1.3_c19
1646804216, 4000, 3571, dashjs3.1.3_c96
1646804218, 4000, 2691, dashjs3.1.3_c19
1646804218, 4000, 3616, dashjs3.1.3_c96
1646804220, 4000, 4308, dashjs3.1.3_c96
1646804222, 4000, 2102, dashjs3.1.3_c19
1646804224, 4000, 3554, dashjs3.1.3_c96
1646804226, 4000, 2875, dashjs3.1.3_c19
1646804226, 4000, 3382, dashjs3.1.3_c96
1646804227, 4000, 4053, dashjs3.1.3_c96
1646804229, 4000, 4241, dashjs3.1.3_c96
1646804229, 4000, 4019, dashjs3.1.3_c19
1646804231, 4000, 4343, dashjs3.1.3_c96
1646804233, 4000, 4593, dashjs3.1.3_c19
1646804235, 4000, 4067, dashjs3.1.3_c96
1646804237, 4000, 4368, dashjs3.1.3_c19
1646804240, 8000, 3497, dashjs3.1.3_c96
1646804241, 8000, 8762, dashjs3.1.3_c19
1646804242, 8000, 8453, dashjs3.1.3_c96
1646804247, 8000, 5342, dashjs3.1.3_c19
1646804247, 8000, 4580, dashjs3.1.3_c96
1646804251, 8000, 6464, dashjs3.1.3_c19
1646804251, 8000, 6014, dashjs3.1.3_c96
1646804255, 8000, 4185, dashjs3.1.3_c96
1646804256, 8000, 5589, dashjs3.1.3_c19
1646804260, 8000, 5600, dashjs3.1.3_c19
1646804260, 8000, 4994, dashjs3.1.3_c96
1646804264, 8000, 5407, dashjs3.1.3_c19
1646804264, 8000, 4371, dashjs3.1.3_c96
1646804268, 8000, 4086, dashjs3.1.3_c96
1646804268, 8000, 5217, dashjs3.1.3_c19
1646804269, 8000, 39687, dashjs3.1.3_c19
1646804270, 20000, 20736, dashjs3.1.3_c96
1646804273, 20000, 20552, dashjs3.1.3_c19
1646804274, 20000, 20167, dashjs3.1.3_c96
1646804277, 20000, 20983, dashjs3.1.3_c19
1646804278, 20000, 20088, dashjs3.1.3_c96
1646804281, 20000, 20759, dashjs3.1.3_c19
1646804282, 20000, 20125, dashjs3.1.3_c96
1646804285, 20000, 20489, dashjs3.1.3_c19
1646804286, 20000, 20379, dashjs3.1.3_c96
1646804289, 20000, 21312, dashjs3.1.3_c19
1646804290, 20000, 20317, dashjs3.1.3_c96
1646804293, 20000, 20239, dashjs3.1.3_c19
1646804294, 20000, 20437, dashjs3.1.3_c96
1646804297, 20000, 20440, dashjs3.1.3_c19
1646804298, 20000, 20490, dashjs3.1.3_c96
1646804302, 8000, 6257, dashjs3.1.3_c19
1646804304, 8000, 7112, dashjs3.1.3_c96
1646804308, 8000, 5001, dashjs3.1.3_c19
1646804309, 8000, 4791, dashjs3.1.3_c96
1646804313, 8000, 4592, dashjs3.1.3_c19
1646804313, 8000, 4146, dashjs3.1.3_c96
1646804317, 8000, 4135, dashjs3.1.3_c19
1646804318, 8000, 4083, dashjs3.1.3_c96
1646804320, 8000, 4137, dashjs3.1.3_c19
1646804321, 8000, 5466, dashjs3.1.3_c96
1646804322, 8000, 5630, dashjs3.1.3_c19
1646804324, 8000, 7768, dashjs3.1.3_c96
1646804326, 8000, 8214, dashjs3.1.3_c19
1646804327, 8000, 8148, dashjs3.1.3_c96
1646804329, 8000, 12805, dashjs3.1.3_c19
1646804337, 4000, 2916, dashjs3.1.3_c96
1646804337, 4000, 2115, dashjs3.1.3_c19
1646804341, 4000, 1949, dashjs3.1.3_c96
1646804343, 4000, 2155, dashjs3.1.3_c19
1646804346, 4000, 2101, dashjs3.1.3_c96
1646804348, 4000, 2044, dashjs3.1.3_c19
1646804352, 4000, 2084, dashjs3.1.3_c96
