timestamp, tc_value, dash_value, dash_client_id
1646806875, 20000, 24821, dashjs4.3.0_c42
1646806876, 20000, 20701, dashjs4.3.0_c42
1646806877, 20000, 19972, dashjs4.3.0_c42
1646806877, 20000, 20202, dashjs4.3.0_c42
1646806878, 20000, 20558, dashjs4.3.0_c42
1646806879, 20000, 19294, dashjs4.3.0_c42
1646806880, 20000, 10082, dashjs4.3.0_c81
1646806880, 20000, 10369, dashjs4.3.0_c42
1646806882, 20000, 10261, dashjs4.3.0_c81
1646806882, 20000, 10133, dashjs4.3.0_c42
1646806883, 20000, 17117, dashjs4.3.0_c81
1646806884, 20000, 20558, dashjs4.3.0_c81
1646806885, 20000, 10584, dashjs4.3.0_c81
1646806886, 20000, 8927, dashjs4.3.0_c42
1646806886, 20000, 12602, dashjs4.3.0_c81
1646806887, 20000, 19994, dashjs4.3.0_c81
1646806889, 20000, 9892, dashjs4.3.0_c42
1646806890, 20000, 12160, dashjs4.3.0_c81
1646806893, 20000, 13644, dashjs4.3.0_c42
1646806893, 20000, 13568, dashjs4.3.0_c81
1646806896, 20000, 20738, dashjs4.3.0_c42
1646806897, 20000, 20475, dashjs4.3.0_c81
1646806901, 20000, 16566, dashjs4.3.0_c42
1646806901, 20000, 16164, dashjs4.3.0_c81
1646806907, 8000, 4620, dashjs4.3.0_c42
1646806908, 8000, 4794, dashjs4.3.0_c81
1646806912, 8000, 4603, dashjs4.3.0_c42
1646806912, 8000, 4016, dashjs4.3.0_c81
1646806916, 8000, 4211, dashjs4.3.0_c42
1646806917, 8000, 4091, dashjs4.3.0_c81
1646806919, 8000, 4118, dashjs4.3.0_c42
1646806920, 8000, 5012, dashjs4.3.0_c81
1646806922, 8000, 4667, dashjs4.3.0_c42
1646806923, 8000, 4079, dashjs4.3.0_c81
1646806924, 8000, 4146, dashjs4.3.0_c42
1646806925, 8000, 4431, dashjs4.3.0_c81
1646806927, 8000, 4021, dashjs4.3.0_c42
1646806927, 8000, 4352, dashjs4.3.0_c81
1646806929, 8000, 6163, dashjs4.3.0_c42
1646806930, 8000, 6342, dashjs4.3.0_c81
1646806937, 4000, 2458, dashjs4.3.0_c42
1646806937, 4000, 2118, dashjs4.3.0_c81
1646806941, 4000, 2132, dashjs4.3.0_c42
1646806943, 4000, 2147, dashjs4.3.0_c81
1646806946, 4000, 2001, dashjs4.3.0_c42
1646806947, 4000, 2380, dashjs4.3.0_c81
