timestamp, last_tc_value, tmp_id, throughput, buffer, stallDuration, representationId, 
1646806875, 20000, dashjs4.3.0_c90, NaN, 0, 0, bbb_30fps_320x180_400k, 
1646806875, 20000, dashjs4.3.0_c90, 24821, 0, 0, bbb_30fps_320x180_400k, 
1646806875, 20000, dashjs4.3.0_c90, 24821, 4, 0, bbb_30fps_1280x720_4000k, 
1646806876, 20000, dashjs4.3.0_c90, 22761, 3.761, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806877, 20000, dashjs4.3.0_c90, 21831, 2.815, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806877, 20000, dashjs4.3.0_c90, 21424, 6.065, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806878, 20000, dashjs4.3.0_c90, 20358, 9.064, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806879, 20000, dashjs4.3.0_c36, NaN, 0, 0, bbb_30fps_1280x720_4000k, 
1646806879, 20000, dashjs4.3.0_c90, 20007, 12.314, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806880, 20000, dashjs4.3.0_c36, 10082, 0, 0, bbb_30fps_1280x720_4000k, 
1646806880, 20000, dashjs4.3.0_c90, 18079, 15.064, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806882, 20000, dashjs4.3.0_c36, 10172, 2.122, 1.001, bbb_30fps_1280x720_4000k, 
1646806882, 20000, dashjs4.3.0_c90, 16111, 17.313, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806883, 20000, dashjs4.3.0_c36, 12487, 5.122, 1.001, bbb_30fps_1280x720_4000k, 
1646806884, 20000, dashjs4.3.0_c36, 14505, 8.372, 1.001, bbb_30fps_1280x720_4000k, 
1646806885, 20000, dashjs4.3.0_c36, 13720, 10.871, 1.001, bbb_30fps_1280x720_4000k, 
1646806886, 20000, dashjs4.3.0_c90, 13856, 17.68, 0.24980000001192093, bbb_30fps_1280x720_4000k, 
1646806886, 20000, dashjs4.3.0_c36, 13534, 13.871, 1.001, bbb_30fps_1280x720_4000k, 
1646806887, 20000, dashjs4.3.0_c36, 14457, 16.871, 1.001, bbb_30fps_1280x720_4000k, 
