timestamp, last_tc_value, tmp_id, throughput, buffer, stallDuration, representationId, 
1646807875, 4000, dashjs3.1.3_c70, 5674, 12.964, 1.3465999999940395, bbb_30fps_768x432_1500k, 
1646807879, 4000, dashjs3.1.3_c70, 5245, 8.713, 1.3465999999940395, bbb_30fps_768x432_1500k, 
1646807883, 4000, dashjs3.1.3_c18, 5569, 7.055, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807883, 4000, dashjs3.1.3_c18, 5569, 9.804, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807886, 4000, dashjs3.1.3_c70, 5001, 6.711, 1.3465999999940395, bbb_30fps_768x432_1500k, 
1646807889, 4000, dashjs3.1.3_c18, 4766, 5.053, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807892, 4000, dashjs3.1.3_c70, 4738, 4.209, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807893, 2000, dashjs3.1.3_c18, 1994, 4.051, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807893, 2000, dashjs3.1.3_c70, 4935, 5.959, 1.3465999999940395, bbb_30fps_1280x720_4000k, 
1646807895, 2000, dashjs3.1.3_c70, 4935, 9.746, 1.3465999999940395, bbb_30fps_1024x576_2500k, 
1646807896, 2000, dashjs3.1.3_c70, 4935, 9.746, 1.3465999999940395, bbb_30fps_1024x576_2500k, 
1646807897, 2000, dashjs3.1.3_c18, 1994, 5.801, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646807901, 2000, dashjs3.1.3_c18, 1821, 2.299, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646807901, 2000, dashjs3.1.3_c70, 4665, 8.207, 1.3465999999940395, bbb_30fps_1024x576_2500k, 
1646807903, 2000, dashjs3.1.3_c18, 1615, 3.04, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646807907, 2000, dashjs3.1.3_c70, 4665, 5.695, 1.3465999999940395, bbb_30fps_640x360_800k, 
1646807909, 2000, dashjs3.1.3_c18, 1418, 3.789, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646807911, 2000, dashjs3.1.3_c18, 1178, 4.288, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646807912, 2000, dashjs3.1.3_c70, 4384, 1.097, 1.3465999999940395, bbb_30fps_640x360_800k, 
1646807913, 2000, dashjs3.1.3_c18, 1189, 6.287, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807914, 2000, dashjs3.1.3_c18, 1189, 8.287, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807916, 2000, dashjs3.1.3_c18, 1238, 11.036, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807918, 2000, dashjs3.1.3_c18, 1220, 12.785, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807918, 2000, dashjs3.1.3_c70, 4169, 0.423, 1.3465999999940395, bbb_30fps_768x432_1500k, 
1646807920, 2000, dashjs3.1.3_c18, 1145, 15.034, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807920, 2000, dashjs3.1.3_c18, 1169, 17.534, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807922, 2000, dashjs3.1.3_c70, 3549, 0.318, 3.078699999988079, bbb_30fps_768x432_1500k, 
1646807924, 2000, dashjs3.1.3_c18, 1253, 18.033, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807924, 4000, dashjs3.1.3_c70, 3588, 5.136, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646807924, 4000, dashjs3.1.3_c70, 3588, 8.991, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646807924, 4000, dashjs3.1.3_c70, 3588, 12.983, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646807925, 4000, dashjs3.1.3_c70, 3283, 2.136, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807925, 4000, dashjs3.1.3_c70, 3669, 16.636, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807927, 4000, dashjs3.1.3_c18, 1792, 19.282, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807927, 4000, dashjs3.1.3_c70, 3578, 18.886, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807931, 4000, dashjs3.1.3_c18, 2005, 19.281, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646807931, 4000, dashjs3.1.3_c70, 4081, 18.884, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807935, 4000, dashjs3.1.3_c18, 2162, 18.271, 0.26809999999403955, bbb_30fps_640x360_800k, 
1646807935, 4000, dashjs3.1.3_c70, 3896, 18.383, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807937, 4000, dashjs3.1.3_c18, 2162, 19.77, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646807940, 4000, dashjs3.1.3_c18, 2612, 17.769, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646807940, 4000, dashjs3.1.3_c70, 3675, 18.132, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807944, 4000, dashjs3.1.3_c70, 3450, 18.131, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807944, 4000, dashjs3.1.3_c18, 2787, 17.768, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646807947, 4000, dashjs3.1.3_c70, 3036, 18.622, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807948, 4000, dashjs3.1.3_c18, 2811, 17.267, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646807952, 4000, dashjs3.1.3_c18, 2858, 18.016, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646807952, 4000, dashjs3.1.3_c70, 2287, 18.121, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807955, 8000, dashjs3.1.3_c18, 3083, 18.015, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646807956, 8000, dashjs3.1.3_c70, 2066, 17.119, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807959, 8000, dashjs3.1.3_c18, 3654, 18.764, 0.26809999999403955, bbb_30fps_768x432_1500k, 
1646807959, 8000, dashjs3.1.3_c70, 2734, 18.869, 3.828699999988079, bbb_30fps_640x360_800k, 
1646807963, 8000, dashjs3.1.3_c70, 2963, 18.367, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646807963, 8000, dashjs3.1.3_c18, 4079, 18.012, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807967, 8000, dashjs3.1.3_c70, 3281, 18.616, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646807967, 8000, dashjs3.1.3_c18, 4490, 18.008, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807971, 8000, dashjs3.1.3_c18, 5591, 17.757, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807971, 8000, dashjs3.1.3_c70, 3626, 18.114, 3.828699999988079, bbb_30fps_768x432_1500k, 
1646807977, 8000, dashjs3.1.3_c70, 4344, 16.613, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646807977, 8000, dashjs3.1.3_c18, 5177, 16.505, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646807980, 8000, dashjs3.1.3_c18, 5196, 17.997, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807980, 8000, dashjs3.1.3_c70, 4549, 17.612, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646807983, 8000, dashjs3.1.3_c18, 5542, 18.746, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807983, 8000, dashjs3.1.3_c70, 5057, 18.111, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646807986, 20000, dashjs3.1.3_c18, 8038, 19.245, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807986, 20000, dashjs3.1.3_c70, 7715, 19.11, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646807990, 20000, dashjs3.1.3_c18, 10538, 19.244, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807991, 20000, dashjs3.1.3_c70, 10362, 18.608, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646807994, 20000, dashjs3.1.3_c18, 13115, 19.242, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807995, 20000, dashjs3.1.3_c70, 12998, 18.857, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646807998, 20000, dashjs3.1.3_c18, 13012, 18.741, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646807999, 20000, dashjs3.1.3_c70, 13112, 18.606, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808002, 20000, dashjs3.1.3_c18, 13612, 19.24, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808003, 20000, dashjs3.1.3_c70, 13816, 18.604, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808006, 20000, dashjs3.1.3_c18, 18598, 19.238, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808007, 20000, dashjs3.1.3_c70, 18940, 18.853, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808010, 20000, dashjs3.1.3_c18, 17957, 19.237, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808011, 20000, dashjs3.1.3_c70, 18424, 18.844, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808015, 20000, dashjs3.1.3_c18, 16909, 18.235, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808015, 20000, dashjs3.1.3_c70, 17379, 18.593, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808022, 8000, dashjs3.1.3_c70, 15709, 16.079, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808022, 8000, dashjs3.1.3_c18, 15364, 15.483, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808025, 8000, dashjs3.1.3_c18, 12273, 16.482, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808027, 8000, dashjs3.1.3_c70, 12639, 15.265, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808030, 8000, dashjs3.1.3_c18, 9995, 15.926, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808030, 8000, dashjs3.1.3_c70, 10221, 16.076, 3.828699999988079, bbb_30fps_1280x720_4000k, 
